id,difficulty,width,height,mines,status,touches,guesses,revealed_count,total_safe_cells,score,method
219,beginner,9,9,10,won,13,0,71,71,13,subset
220,beginner,9,9,10,won,14,1,71,71,14,subset
221,beginner,9,9,10,won,20,0,71,71,20,subset
222,beginner,9,9,10,won,16,0,71,71,16,subset
223,beginner,9,9,10,lost,5,1,39,71,38,subset
224,beginner,9,9,10,won,19,0,71,71,19,subset
225,beginner,9,9,10,won,11,0,71,71,11,subset
226,beginner,9,9,10,won,24,0,71,71,24,subset
227,beginner,9,9,10,won,22,0,71,71,22,subset
228,beginner,9,9,10,won,15,0,71,71,15,subset
229,beginner,9,9,10,won,28,0,71,71,28,subset
230,beginner,9,9,10,won,28,0,71,71,28,subset
231,beginner,9,9,10,won,17,0,71,71,17,subset
232,beginner,9,9,10,won,19,0,71,71,19,subset
233,beginner,9,9,10,won,19,0,71,71,19,subset
234,beginner,9,9,10,won,18,0,71,71,18,subset
235,beginner,9,9,10,won,16,0,71,71,16,subset
236,beginner,9,9,10,won,15,0,71,71,15,subset
237,beginner,9,9,10,lost,15,1,71,71,16,subset
238,beginner,9,9,10,won,14,0,71,71,14,subset
239,beginner,9,9,10,won,15,0,71,71,15,subset
240,beginner,9,9,10,won,20,0,71,71,20,subset
241,beginner,9,9,10,won,15,1,71,71,15,subset
242,beginner,9,9,10,won,22,0,71,71,22,subset
243,beginner,9,9,10,won,17,0,71,71,17,subset
244,beginner,9,9,10,won,19,0,71,71,19,subset
245,beginner,9,9,10,won,21,0,71,71,21,subset
246,beginner,9,9,10,won,20,0,71,71,20,subset
247,beginner,9,9,10,won,20,0,71,71,20,subset
248,beginner,9,9,10,won,12,0,71,71,12,subset
249,beginner,9,9,10,won,14,0,71,71,14,subset
250,beginner,9,9,10,won,28,0,71,71,28,subset
251,beginner,9,9,10,won,13,0,71,71,13,subset
252,beginner,9,9,10,won,12,0,71,71,12,subset
253,beginner,9,9,10,won,14,0,71,71,14,subset
254,beginner,9,9,10,won,22,0,71,71,22,subset
255,beginner,9,9,10,won,24,0,71,71,24,subset
256,beginner,9,9,10,won,14,0,71,71,14,subset
257,beginner,9,9,10,won,9,0,71,71,9,subset
258,beginner,9,9,10,won,14,0,71,71,14,subset
259,beginner,9,9,10,won,32,1,71,71,32,subset
260,beginner,9,9,10,won,13,0,71,71,13,subset
261,beginner,9,9,10,won,14,1,71,71,14,subset
262,beginner,9,9,10,won,12,0,71,71,12,subset
